what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.ws.annotations.core,1.2.101.v201401101648,"org.eclipse.jst.ws.annotations.core",1551230091545
stopped,bundle,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui",1551230091549
stopped,bundle,org.eclipse.rse.importexport,1.2.300.201205241511,"org.eclipse.rse.importexport",1551230091550
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.300.201205062159,"org.eclipse.rse.subsystems.shells.telnet",1551230091550
stopped,bundle,org.eclipse.rse.useractions,1.1.500.201305201712,"org.eclipse.rse.useractions",1551230091550
stopped,bundle,org.eclipse.rse.shells.ui,3.0.500.201305031537,"org.eclipse.rse.shells.ui",1551230091550
stopped,bundle,org.eclipse.rse.files.ui,3.2.200.201307171555,"org.eclipse.rse.files.ui",1551230091550
stopped,bundle,org.eclipse.rse.processes.ui,3.0.400.201205062159,"org.eclipse.rse.processes.ui",1551230091550
stopped,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.101.v201208171701,"org.eclipse.wst.jsdt.debug.rhino.ui",1551230091550
stopped,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.300.v201209252144,"org.eclipse.wst.jsdt.debug.ui",1551230091550
stopped,bundle,org.eclipse.wst.jsdt.support.firefox,1.0.402.v201208171701,"org.eclipse.wst.jsdt.support.firefox",1551230091550
stopped,bundle,org.eclipse.wst.jsdt.ui,1.1.401.v201401171657,"org.eclipse.wst.jsdt.ui",1551230091550
stopped,bundle,org.eclipse.wst.sse.ui,1.3.201.v201401132128,"org.eclipse.wst.sse.ui",1551230091550
stopped,bundle,org.eclipse.search,3.9.1.v20131121-1346,"org.eclipse.search",1551230091558
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.501.v20131021-1545,"org.eclipse.ui.navigator.resources",1551230091558
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.7.100.v20130605-1748,"org.eclipse.ltk.ui.refactoring",1551230091558
stopped,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1551230091559
stopped,bundle,org.eclipse.team.ui,3.7.1.v20130729-1104,"org.eclipse.team.ui",1551230091560
stopped,bundle,org.eclipse.compare,3.5.401.v20130709-1308,"org.eclipse.compare",1551230091560
stopped,bundle,org.eclipse.datatools.connectivity.oda.flatfile.ui,3.1.9.v201309221054,"org.eclipse.datatools.connectivity.oda.flatfile.ui",1551230091560
stopped,bundle,org.eclipse.datatools.connectivity.oda.design.ui,3.2.9.v201305031540,"org.eclipse.datatools.connectivity.oda.design.ui",1551230091560
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.iseries.ui,1.0.3.v201212120614,"org.eclipse.datatools.enablement.ibm.db2.iseries.ui",1551230091560
stopped,bundle,org.eclipse.datatools.enablement.ibm.db2.luw.ui,1.0.6.v201402010752,"org.eclipse.datatools.enablement.ibm.db2.luw.ui",1551230091560
