what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554005753508
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1554005772351
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554005786067
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554006141603
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554006148538
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554006149675
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554006248018
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554006274531
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554006584592
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554006588328
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554006633379
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1554006634149
activated,view,org.eclipse.ui.ide,3.9.2.v20131004-0923,"org.eclipse.ui.views.ProblemView",1554006682450
opened,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554006692297
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554006692389
activated,view,org.eclipse.ui.ide,3.9.2.v20131004-0923,"org.eclipse.ui.views.ProblemView",1554006692590
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554006703048
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554006703171
closed,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554006703184
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554006872302
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554006905579
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554006922574
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554006942649
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554006949316
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554007052544
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1554007085122
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554007101667
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554007821091
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554007836598
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554007867865
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554007891078
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554007914205
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1554007917135
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554007924832
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554007926966
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1554007931611
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554007933677
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554008002033
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554008100076
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554008115685
activated,view,org.eclipse.ui.console,3.5.200.v20130514-0954,"org.eclipse.ui.console.ConsoleView",1554008118803
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554008120443
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554008122814
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554008125475
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554035691503
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554035711297
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554035720644
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554035742684
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554035748151
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554035764654
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554035771248
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554035790112
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554035813010
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554037113066
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554037114151
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554037115725
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554037133026
activated,editor,org.eclipse.jdt.ui,3.9.2.v20131106-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1554037134420
deactivated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554037137448
activated,workbench,org.eclipse.ui.workbench,3.105.2.v20140211-1711,"",1554037231242
